,0,1,2,3,4,5,y
0,-3.293275,-0.85430366,-0.53128624,2.8382928,0.23186937,1.3900471,3
1,1.5516515,-0.55924565,-1.7463945,-1.7469928,1.9279704,-0.98836035,4
2,1.5516515,-0.55924565,-1.7463945,-1.7469928,1.9279704,-0.98836035,4
3,-1.0189494,0.75559956,-0.95779634,0.45454556,2.0724382,-0.9315554,4
4,-1.151013,-0.5880783,-0.5967565,-0.3556124,0.17352006,1.2325535,3
5,0.5242775,-1.6813798,-2.2176251,-1.1393824,2.0970023,0.7742395,4
6,1.109909,-1.3457792,-2.6211634,-2.1226215,4.457935,-1.446615,4
7,-1.9286325,-1.9214591,1.5456635,0.395636,-0.03937965,1.9691272,4
8,1.3858811,-1.1770592,-2.3394842,1.2497274,1.3105907,-2.0166163,0
9,-3.326782,1.2094595,2.1127577,-0.63576126,0.10009184,1.3381697,1
10,-1.1204545,1.4646324,1.5358484,-1.0252774,-0.625339,-2.6808696,2
11,0.67136335,-0.86654574,-1.5822966,0.9695475,1.2977147,-1.5249819,0
12,2.099992,-0.28740767,-1.7255322,-0.74287784,1.7453285,-1.5266821,0
13,-0.526578,-0.8311165,0.15686779,0.9649778,0.27923104,-0.36213946,4
14,3.228606,-2.5342298,-2.076616,-0.43624228,3.0258455,-1.5197034,4
15,-1.5773766,-0.362481,-1.7524908,1.2292194,0.70723933,-0.903598,4
16,-0.52320784,-1.6543205,-1.317364,-0.37128317,3.0680704,0.5624089,4
17,-1.6101964,-1.1163474,0.31515658,-1.4801385,-0.7432051,3.581063,5
18,1.4727662,-0.62928337,-0.909586,-0.7424114,-0.48397404,0.044467818,0
19,-1.7160057,0.1026056,-3.1495895,-0.42729533,-0.83826447,2.3856952,5
20,-1.5578866,0.3484137,-0.51672035,-1.6523418,1.5201054,0.69519013,1
21,-0.31899276,-1.2922684,-1.8961294,-0.49374333,0.20870411,0.99272114,5
22,-1.2866361,-1.1306963,-0.1612488,-1.4438456,2.1627417,1.6086483,5
